iter	Logloss
0	0.6368504599
1	0.5904156266
2	0.547957445
3	0.509038518
4	0.47429408
5	0.4416531401
6	0.4135228563
7	0.3885145768
8	0.3634265447
9	0.3397490212
10	0.3220962278
11	0.3032939317
12	0.2883520788
13	0.2748745838
14	0.262223742
15	0.2497985556
16	0.2397911927
17	0.2291004637
18	0.2190587455
19	0.2107954936
20	0.1993675649
21	0.1918488517
22	0.1860154571
23	0.1799791393
24	0.1743967278
25	0.1685748153
26	0.1631505037
27	0.1589580564
28	0.1555840517
29	0.1520656405
30	0.1480163216
31	0.1441878439
32	0.1412154363
33	0.1386093464
34	0.1359211851
35	0.1330987295
36	0.1307622123
37	0.1283331381
38	0.1261524908
39	0.124077527
40	0.1218884071
41	0.1192304257
42	0.1169878962
43	0.1151515312
44	0.1132937068
45	0.1118084288
46	0.1105619402
47	0.1089449615
48	0.1067377834
49	0.1048646356
50	0.1032190735
51	0.1017774658
52	0.1001710673
53	0.09868509994
54	0.09741873524
55	0.09578547878
56	0.09492937767
57	0.09380139731
58	0.09024611928
59	0.08928299098
60	0.08840570546
61	0.08748620185
62	0.08648461771
63	0.08536929609
64	0.08486733955
65	0.08391279304
66	0.08291763037
67	0.08189131177
68	0.08104146387
69	0.08030889498
70	0.07928078951
71	0.07869985103
72	0.07791362982
73	0.07553914416
74	0.07484982002
75	0.07424459354
76	0.07327370168
77	0.07143204063
78	0.0707686598
79	0.0692269473
80	0.06844459135
81	0.06754341176
82	0.06706175069
83	0.06656325036
84	0.06588211744
85	0.06528742779
86	0.06474029482
87	0.06434894365
88	0.06368180105
89	0.0623180323
90	0.06176851718
91	0.06135657427
92	0.06050781199
93	0.05992057393
94	0.05890816171
95	0.05828722218
96	0.05787104901
97	0.05734229139
98	0.05697850437
99	0.05656689919
100	0.0561080606
101	0.05570672604
102	0.05524227356
103	0.05475619983
104	0.05438669661
105	0.0540804439
106	0.05372962017
107	0.05334150611
108	0.05298944924
109	0.0526472219
110	0.05241014555
111	0.05215086505
112	0.05170696759
113	0.05142818642
114	0.05094598378
115	0.05053888458
116	0.05021033826
117	0.05004890567
118	0.04972736317
119	0.04941152684
120	0.04919560067
121	0.04888487436
122	0.04857783919
123	0.04814637903
124	0.047951523
125	0.04769075951
126	0.04724884101
127	0.04709632244
128	0.046740851
129	0.04597292601
130	0.04562825956
131	0.04538208444
132	0.04508795021
133	0.04461765971
134	0.04429239128
135	0.04400007351
136	0.04378532172
137	0.04344026293
138	0.04317610087
139	0.04289491404
140	0.04266586181
141	0.04238432423
142	0.04217736573
143	0.041978548
144	0.04177091311
145	0.04157979339
146	0.0413050454
147	0.04104674824
148	0.0408227009
149	0.04062421218
150	0.04038256468
151	0.0401376339
152	0.03993478227
153	0.03964971619
154	0.03946482106
155	0.03917741798
156	0.03896642012
157	0.03875546204
158	0.03857697883
159	0.03845923952
160	0.03825478999
161	0.03793698859
162	0.03763139879
163	0.03742939956
164	0.03718291063
165	0.03694700746
166	0.03673511566
167	0.03661037739
168	0.03634382438
169	0.03608834568
170	0.03592429717
171	0.03567000484
172	0.03541781083
173	0.03525852245
174	0.03504375949
175	0.0348300386
176	0.03473570229
177	0.03449796833
178	0.03433392679
179	0.03412434109
